id,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,average_review
628149,f,6,6,2,2.0,1.0,1.0,6523,$40.00,1,125,97,9.3
634310,t,2,2,2,1.0,1.0,1.0,6523,$66.00,2,1125,83,9.9
640841,t,2,2,4,2.5,2.0,2.0,6523,$150.00,5,14,56,10.0
642053,t,11,11,4,1.0,1.0,2.0,6523,$137.00,2,365,12,9.55
642065,t,11,11,4,1.0,3.0,4.0,6523,$142.00,2,365,40,9.716666666666667
651742,t,2,2,2,1.0,1.0,1.0,6523,$55.00,3,180,67,9.95
662034,t,2,2,2,1.0,1.0,1.0,6523,$50.00,3,180,66,9.9
681842,f,2,2,1,1.0,1.0,1.0,6523,$50.00,3,10,26,9.733333333333334
697634,t,2,2,4,1.0,2.0,2.0,6523,$85.00,30,1125,150,9.85
724895,f,6,6,2,2.0,1.0,0.0,6523,$39.00,1,30,131,9.066666666666666
726376,f,5,5,2,1.0,1.0,1.0,6523,$89.00,3,65,626,9.616666666666667
727847,f,3,3,2,1.0,2.0,1.0,6523,$70.00,2,365,73,8.583333333333332
731232,f,0,0,5,1.0,3.0,4.0,6523,$200.00,2,365,134,9.766666666666666
739495,f,1,1,4,1.0,2.0,2.0,6523,$81.00,28,90,186,9.85
753809,t,80,80,3,1.0,1.0,1.0,6523,$130.00,31,1122,13,9.45
755701,t,4,4,4,1.0,3.0,6.0,6523,$65.00,25,1125,20,9.583333333333332
764856,t,3,3,2,1.0,1.0,1.0,6523,$150.00,2,120,251,9.9
773127,t,2,2,2,2.0,1.0,2.0,6523,$78.00,2,14,128,9.8
789429,f,3,3,2,1.0,1.0,1.0,6523,$99.00,365,365,0,
790016,f,3,3,5,2.0,3.0,3.0,6523,$299.00,365,365,16,9.5
790934,t,16,16,2,2.0,1.0,1.0,6523,$82.00,1,3,139,9.316666666666666
802613,t,2,2,4,2.0,1.0,1.0,6523,$204.00,1,1125,56,9.45
824518,f,1,1,4,1.0,1.0,3.0,6523,$95.00,28,365,87,9.85
841024,f,3,3,6,2.0,2.0,2.0,6523,$239.00,32,1125,15,8.5
863120,t,1,1,2,2.5,3.0,1.0,6523,$85.00,2,1125,98,9.95
872247,t,1,1,3,1.0,1.0,1.0,6523,$125.00,7,1125,163,9.816666666666666
887038,f,8,8,4,1.0,2.0,1.0,6523,$125.00,32,300,36,8.833333333333332
903996,t,1,1,2,1.0,1.0,1.0,6523,$110.00,2,1125,145,10.0
909096,f,5,5,8,2.5,3.0,3.0,6523,$282.00,30,1125,201,9.55
929914,t,1,1,2,1.0,1.0,1.0,6523,$115.00,2,28,317,9.9
931105,f,1,1,2,1.5,1.0,1.0,6523,$101.00,3,1125,23,9.816666666666666
949514,t,1,1,2,1.0,1.0,0.0,6523,$50.00,3,60,133,9.85
960326,t,26,26,8,2.0,3.0,3.0,6523,$169.00,1,1125,289,9.783333333333333
979841,t,4,4,2,1.5,1.0,1.0,6523,$69.00,2,90,210,10.0
979926,t,4,4,2,1.5,1.0,1.0,6523,$59.00,2,90,240,9.95
979942,t,4,4,2,1.5,1.0,2.0,6523,$59.00,2,90,233,9.9
983640,t,4,4,4,1.0,2.0,3.0,6523,$159.00,2,90,176,9.9
1020810,f,5,5,2,1.0,1.0,1.0,6523,$89.00,30,365,30,9.183333333333334
1027405,f,4,4,4,1.0,1.0,0.0,6523,$45.00,2,1125,6,8.483333333333334
1027463,f,4,4,4,2.0,3.0,4.0,6523,$45.00,2,1125,10,9.15
1027741,f,4,4,4,1.5,3.0,1.0,6523,$45.00,2,1125,10,9.166666666666668
1056430,t,1,1,2,1.0,1.0,1.0,6523,$79.00,2,30,320,9.85
1080532,f,4,4,4,2.5,2.0,2.0,6523,$114.00,6,1125,29,9.666666666666668
1083987,t,80,80,3,1.0,1.0,2.0,6523,$61.00,30,1123,22,9.833333333333332
1096191,f,1,1,2,1.0,1.0,1.0,6523,$60.00,30,400,48,9.75
1113259,t,1,1,2,1.0,1.0,1.0,6523,$43.00,1,1125,132,9.75
1171860,f,5,5,2,1.0,1.0,1.0,6523,$79.00,4,150,541,9.75
1183249,f,5,5,2,1.0,1.0,1.0,6523,$79.00,28,120,505,9.483333333333334
1185749,t,1,1,6,1.0,3.0,4.0,6523,$80.00,30,365,315,9.9
1195259,f,0,0,3,1.0,2.0,2.0,6523,$128.00,4,1124,182,9.9
1225964,f,0,0,2,1.0,1.0,1.0,6523,$70.00,2,7,9,9.766666666666666
1249397,f,2,2,5,2.0,3.0,4.0,6523,$130.00,1,1125,11,9.466666666666667
1278457,f,2,2,6,3.0,4.0,3.0,6523,$225.00,7,90,22,9.95
1304049,f,1,1,2,1.0,1.0,1.0,6523,$103.00,1,1125,103,9.4
1321332,t,1,1,16,3.5,4.0,10.0,6523,$656.00,2,60,77,9.9
1325769,f,1,1,1,2.0,2.0,2.0,6523,$110.00,1,30,23,9.9
1333431,t,2,2,4,1.0,2.0,2.0,6523,$182.00,1,15,6,10.0
1361421,f,5,5,2,11.0,1.0,1.0,6523,$48.00,1,14,41,9.066666666666666
